          a2           a3        speed          cot
     1.00000      0.38000      0.37652      0.16947
     1.00000      0.38000      0.37652      0.16947
     1.00000      0.38000      0.37652      0.16947
     1.12647      0.40393      0.51279      0.19189
     1.12647      0.40393      0.51279      0.19189
     1.12647      0.40393      0.51279      0.19189
     1.18689      0.29198      0.57901      0.24833
     1.18689      0.29198      0.57901      0.24833
     1.18689      0.29198      0.57901      0.24833
     1.21464      0.41173      0.57761      0.23010
     1.21464      0.41173      0.57761      0.23010
     1.21464      0.41173      0.57761      0.23010
     1.21004      0.38232      0.57992      0.23100
     1.21004      0.38232      0.57992      0.23100
     1.21004      0.38232      0.57992      0.23100
     1.21192      0.38899      0.57999      0.23101
     1.21192      0.38899      0.57999      0.23101
     1.21192      0.38899      0.57999      0.23101
     1.21151      0.38745      0.58000      0.23101
     1.21152      0.38745      0.58000      0.23101
     1.21151      0.38745      0.58000      0.23101
     1.21170      0.38814      0.58000      0.23101
     1.21170      0.38814      0.58000      0.23101
     1.21170      0.38814      0.58000      0.23101
     1.21159      0.38774      0.58000      0.23101
     1.21159      0.38774      0.58000      0.23101
     1.21159      0.38774      0.58000      0.23101
     1.21164      0.38791      0.58000      0.23101
     1.21164      0.38791      0.58000      0.23101
     1.21164      0.38791      0.58000      0.23101
     1.21379      0.39594      0.57999      0.23116
     1.21271      0.39193      0.58000      0.23105
     1.21218      0.38992      0.58000      0.23102
     1.21191      0.38891      0.58000      0.23101
     1.21177      0.38841      0.58000      0.23101
     1.21171      0.38816      0.58000      0.23101
     1.21171      0.38816      0.58000      0.23101
     1.21171      0.38816      0.58000      0.23101
     1.21167      0.38802      0.58000      0.23101
     1.21167      0.38802      0.58000      0.23101
     1.21167      0.38802      0.58000      0.23101
